"work_order_id","sample_month","unit_or_location","category","sub_category","priority","submitted_at","acknowledged_at","assigned_at","completed_at","status","assigned_to","vendor","description_summary","attachment_present","permission_to_enter","pet_present","reopened","resident_rating","cost_or_effort","routing_tags"
"SAMPLE-RH-0047","Mar","Unit sample 47","Appliances","Trash Compactor","Medium","sample-Mar-12","sample + 1 day","sample + 1-2 days","sample + 2-10 days","Completed","Maintenance","Internal maintenance first","Sanitized sample Appliances request for Trash Compactor.","No","Yes","No","No","sample 3-5","TBD","daily-life-breaker"
"SAMPLE-RH-0048","Mar","Unit sample 48","Appliances","Washer/Dryer","Medium","sample-Mar-13","sample + 1 day","sample + 1-2 days","sample + 2-10 days","Completed","Maintenance","Internal maintenance first","Sanitized sample Appliances request for Washer/Dryer.","No","Yes","Yes","No","sample 3-5","TBD","daily-life-breaker"
"SAMPLE-RH-0049","Mar","Unit sample 49","Appliances","Dishwasher","Medium","sample-Mar-14","sample + 1 day","sample + 1-2 days","unavailable","Open","Maintenance","Internal maintenance first","Sanitized sample Appliances request for Dishwasher.","No","Yes","No","No","unavailable","TBD","daily-life-breaker"
"SAMPLE-RH-0050","Mar","Unit sample 50","Appliances","Refrigerator","Medium","sample-Mar-15","sample + 1 day","sample + 1-2 days","sample + 2-10 days","Completed","Maintenance","Internal maintenance first","Sanitized sample Appliances request for Refrigerator.","No","Yes","Unknown","No","sample 3-5","TBD","daily-life-breaker"
"SAMPLE-RH-0051","Mar","Unit sample 51","Appliances","Stove","Medium","sample-Mar-16","sample + 1 day","sample + 1-2 days","sample + 2-10 days","Completed","Maintenance","Internal maintenance first","Sanitized sample Appliances request for Stove.","No","Yes","Yes","No","sample 3-5","TBD","daily-life-breaker"
"SAMPLE-RH-0052","Mar","Unit sample 52","Appliances","Microwave","Medium","sample-Mar-17","sample + 1 day","sample + 1-2 days","unavailable","Reopened","Maintenance","Internal maintenance first","Sanitized sample Appliances request for Microwave.","No","Yes","No","Yes","unavailable","TBD","daily-life-breaker"
"SAMPLE-RH-0053","Mar","Unit sample 53","Appliances","Trash Compactor","Medium","sample-Mar-18","sample + 1 day","sample + 1-2 days","sample + 2-10 days","Completed","Maintenance","Internal maintenance first","Sanitized sample Appliances request for Trash Compactor.","No","Yes","No","No","sample 3-5","TBD","daily-life-breaker"
"SAMPLE-RH-0054","Apr","Unit sample 54","Appliances","Washer/Dryer","Medium","sample-Apr-01","sample + 1 day","sample + 1-2 days","sample + 2-10 days","Completed","Maintenance","Internal maintenance first","Sanitized sample Appliances request for Washer/Dryer.","No","Yes","Yes","No","sample 3-5","TBD","daily-life-breaker"
"SAMPLE-RH-0055","Apr","Unit sample 55","Appliances","Dishwasher","Medium","sample-Apr-02","sample + 1 day","sample + 1-2 days","sample + 2-10 days","Completed","Maintenance","Internal maintenance first","Sanitized sample Appliances request for Dishwasher.","No","Yes","Unknown","No","sample 3-5","TBD","daily-life-breaker"
"SAMPLE-RH-0056","Apr","Unit sample 56","Appliances","Refrigerator","Medium","sample-Apr-03","sample + 1 day","sample + 1-2 days","unavailable","Open","Maintenance","Internal maintenance first","Sanitized sample Appliances request for Refrigerator.","No","Yes","No","No","unavailable","TBD","daily-life-breaker"
"SAMPLE-RH-0057","Apr","Unit sample 57","Appliances","Stove","Medium","sample-Apr-04","sample + 1 day","sample + 1-2 days","sample + 2-10 days","Completed","Maintenance","Internal maintenance first","Sanitized sample Appliances request for Stove.","No","Yes","Yes","No","sample 3-5","TBD","daily-life-breaker"
"SAMPLE-RH-0058","Apr","Unit sample 58","Appliances","Microwave","Medium","sample-Apr-05","sample + 1 day","sample + 1-2 days","sample + 2-10 days","Completed","Maintenance","Internal maintenance first","Sanitized sample Appliances request for Microwave.","No","Yes","No","No","sample 3-5","TBD","daily-life-breaker"
"SAMPLE-RH-0059","Apr","Unit sample 59","Appliances","Trash Compactor","Medium","sample-Apr-06","sample + 1 day","sample + 1-2 days","sample + 2-10 days","Completed","Maintenance","Internal maintenance first","Sanitized sample Appliances request for Trash Compactor.","No","Yes","No","No","sample 3-5","TBD","daily-life-breaker"
"SAMPLE-RH-0060","Apr","Unit sample 60","Appliances","Washer/Dryer","Medium","sample-Apr-07","sample + 1 day","sample + 1-2 days","sample + 2-10 days","Completed","Maintenance","Internal maintenance first","Sanitized sample Appliances request for Washer/Dryer.","No","Yes","Yes","No","sample 3-5","TBD","daily-life-breaker"
"SAMPLE-RH-0061","Apr","Unit sample 01","Appliances","Dishwasher","Medium","sample-Apr-08","sample + 1 day","sample + 1-2 days","sample + 2-10 days","Completed","Maintenance","Internal maintenance first","Sanitized sample Appliances request for Dishwasher.","No","Yes","No","No","sample 3-5","TBD","daily-life-breaker"
"SAMPLE-RH-0062","Apr","Unit sample 02","Appliances","Refrigerator","Medium","sample-Apr-09","sample + 1 day","sample + 1-2 days","sample + 2-10 days","Completed","Maintenance","Internal maintenance first","Sanitized sample Appliances request for Refrigerator.","No","Yes","No","No","sample 3-5","TBD","daily-life-breaker"
"SAMPLE-RH-0063","Apr","Unit sample 03","Appliances","Stove","Medium","sample-Apr-10","sample + 1 day","sample + 1-2 days","unavailable","Open","Maintenance","Internal maintenance first","Sanitized sample Appliances request for Stove.","No","Yes","Yes","No","unavailable","TBD","daily-life-breaker"
"SAMPLE-RH-0064","Apr","Unit sample 04","Appliances","Microwave","Medium","sample-Apr-11","sample + 1 day","sample + 1-2 days","sample + 2-10 days","Completed","Maintenance","Internal maintenance first","Sanitized sample Appliances request for Microwave.","No","Yes","No","No","sample 3-5","TBD","daily-life-breaker"
"SAMPLE-RH-0065","Apr","Unit sample 05","Appliances","Trash Compactor","Medium","sample-Apr-12","sample + 1 day","sample + 1-2 days","unavailable","Reopened","Maintenance","Internal maintenance first","Sanitized sample Appliances request for Trash Compactor.","No","Yes","Unknown","Yes","unavailable","TBD","daily-life-breaker"
"SAMPLE-RH-0066","Apr","Unit sample 06","Appliances","Washer/Dryer","Medium","sample-Apr-13","sample + 1 day","sample + 1-2 days","sample + 2-10 days","Completed","Maintenance","Internal maintenance first","Sanitized sample Appliances request for Washer/Dryer.","No","Yes","Yes","No","sample 3-5","TBD","daily-life-breaker"
"SAMPLE-RH-0067","Apr","Unit sample 07","Appliances","Dishwasher","Medium","sample-Apr-14","sample + 1 day","sample + 1-2 days","sample + 2-10 days","Completed","Maintenance","Internal maintenance first","Sanitized sample Appliances request for Dishwasher.","No","Yes","No","No","sample 3-5","TBD","daily-life-breaker"
"SAMPLE-RH-0068","Apr","Unit sample 08","Appliances","Refrigerator","Medium","sample-Apr-15","sample + 1 day","sample + 1-2 days","sample + 2-10 days","Completed","Maintenance","Internal maintenance first","Sanitized sample Appliances request for Refrigerator.","No","Yes","No","No","sample 3-5","TBD","daily-life-breaker"
"SAMPLE-RH-0069","Apr","Unit sample 09","Appliances","Stove","Medium","sample-Apr-16","sample + 1 day","sample + 1-2 days","sample + 2-10 days","Completed","Maintenance","Internal maintenance first","Sanitized sample Appliances request for Stove.","No","Yes","Yes","No","sample 3-5","TBD","daily-life-breaker"
"SAMPLE-RH-0070","Apr","Unit sample 10","Appliances","Microwave","Medium","sample-Apr-17","sample + 1 day","sample + 1-2 days","unavailable","Open","Maintenance","Internal maintenance first","Sanitized sample Appliances request for Microwave.","No","Yes","Unknown","No","unavailable","TBD","daily-life-breaker"
"SAMPLE-RH-0071","May","Unit sample 11","Appliances","Trash Compactor","Medium","sample-May-01","sample + 1 day","sample + 1-2 days","sample + 2-10 days","Completed","Maintenance","Internal maintenance first","Sanitized sample Appliances request for Trash Compactor.","No","Yes","No","No","sample 3-5","TBD","daily-life-breaker"
"SAMPLE-RH-0072","May","Unit sample 12","Appliances","Washer/Dryer","Medium","sample-May-02","sample + 1 day","sample + 1-2 days","sample + 2-10 days","Completed","Maintenance","Internal maintenance first","Sanitized sample Appliances request for Washer/Dryer.","No","Yes","Yes","No","sample 3-5","TBD","daily-life-breaker"
"SAMPLE-RH-0073","May","Unit sample 13","Appliances","Dishwasher","Medium","sample-May-03","sample + 1 day","sample + 1-2 days","sample + 2-10 days","Completed","Maintenance","Internal maintenance first","Sanitized sample Appliances request for Dishwasher.","No","Yes","No","No","sample 3-5","TBD","daily-life-breaker"
"SAMPLE-RH-0074","May","Unit sample 14","Appliances","Refrigerator","Medium","sample-May-04","sample + 1 day","sample + 1-2 days","sample + 2-10 days","Completed","Maintenance","Internal maintenance first","Sanitized sample Appliances request for Refrigerator.","No","Yes","No","No","sample 3-5","TBD","daily-life-breaker"
"SAMPLE-RH-0075","May","Unit sample 15","Appliances","Stove","Medium","sample-May-05","sample + 1 day","sample + 1-2 days","sample + 2-10 days","Completed","Maintenance","Internal maintenance first","Sanitized sample Appliances request for Stove.","No","Yes","Yes","No","sample 3-5","TBD","daily-life-breaker"
"SAMPLE-RH-0076","May","Unit sample 16","Appliances","Microwave","Medium","sample-May-06","sample + 1 day","sample + 1-2 days","sample + 2-10 days","Completed","Maintenance","Internal maintenance first","Sanitized sample Appliances request for Microwave.","No","Yes","No","No","sample 3-5","TBD","daily-life-breaker"
"SAMPLE-RH-0077","May","Unit sample 17","Appliances","Trash Compactor","Medium","sample-May-07","sample + 1 day","sample + 1-2 days","unavailable","Open","Maintenance","Internal maintenance first","Sanitized sample Appliances request for Trash Compactor.","No","Yes","No","No","unavailable","TBD","daily-life-breaker"
"SAMPLE-RH-0078","May","Unit sample 18","Appliances","Washer/Dryer","Medium","sample-May-08","sample + 1 day","sample + 1-2 days","unavailable","Reopened","Maintenance","Internal maintenance first","Sanitized sample Appliances request for Washer/Dryer.","No","Yes","Yes","Yes","unavailable","TBD","daily-life-breaker"
"SAMPLE-RH-0079","May","Unit sample 19","Appliances","Dishwasher","Medium","sample-May-09","sample + 1 day","sample + 1-2 days","sample + 2-10 days","Completed","Maintenance","Internal maintenance first","Sanitized sample Appliances request for Dishwasher.","No","Yes","No","No","sample 3-5","TBD","daily-life-breaker"
"SAMPLE-RH-0080","May","Unit sample 20","Appliances","Refrigerator","Medium","sample-May-10","sample + 1 day","sample + 1-2 days","sample + 2-10 days","Completed","Maintenance","Internal maintenance first","Sanitized sample Appliances request for Refrigerator.","No","Yes","Unknown","No","sample 3-5","TBD","daily-life-breaker"
"SAMPLE-RH-0081","May","Unit sample 21","Appliances","Stove","Medium","sample-May-11","sample + 1 day","sample + 1-2 days","sample + 2-10 days","Completed","Maintenance","Internal maintenance first","Sanitized sample Appliances request for Stove.","No","Yes","Yes","No","sample 3-5","TBD","daily-life-breaker"
"SAMPLE-RH-0082","May","Unit sample 22","Appliances","Microwave","Medium","sample-May-12","sample + 1 day","sample + 1-2 days","sample + 2-10 days","Completed","Maintenance","Internal maintenance first","Sanitized sample Appliances request for Microwave.","No","Yes","No","No","sample 3-5","TBD","daily-life-breaker"
"SAMPLE-RH-0083","May","Unit sample 23","Appliances","Trash Compactor","Medium","sample-May-13","sample + 1 day","sample + 1-2 days","sample + 2-10 days","Completed","Maintenance","Internal maintenance first","Sanitized sample Appliances request for Trash Compactor.","No","Yes","No","No","sample 3-5","TBD","daily-life-breaker"
"SAMPLE-RH-0084","May","Unit sample 24","Appliances","Washer/Dryer","Medium","sample-May-14","sample + 1 day","sample + 1-2 days","unavailable","Open","Maintenance","Internal maintenance first","Sanitized sample Appliances request for Washer/Dryer.","No","Yes","Yes","No","unavailable","TBD","daily-life-breaker"
"SAMPLE-RH-0085","May","Unit sample 25","Water Intrusion/Drywall","Mold / Mildew Issue","High","sample-May-15","sample + 1 day","sample + 1-2 days","sample + 2-10 days","Completed","Maintenance + vendor","External vendor likely","Sanitized sample Water Intrusion/Drywall request for Mold / Mildew Issue.","Yes","Yes","Unknown","No","sample 3-5","TBD","habitability-risk"
"SAMPLE-RH-0086","May","Unit sample 26","Water Intrusion/Drywall","Sheetrock","High","sample-May-16","sample + 1 day","sample + 1-2 days","sample + 2-10 days","Completed","Maintenance + vendor","External vendor likely","Sanitized sample Water Intrusion/Drywall request for Sheetrock.","Yes","Yes","No","No","sample 3-5","TBD","habitability-risk"
"SAMPLE-RH-0087","May","Unit sample 27","Water Intrusion/Drywall","Ceiling stain","High","sample-May-17","sample + 1 day","sample + 1-2 days","sample + 2-10 days","Completed","Maintenance + vendor","External vendor likely","Sanitized sample Water Intrusion/Drywall request for Ceiling stain.","Yes","Yes","Yes","No","sample 3-5","TBD","habitability-risk"
"SAMPLE-RH-0088","May","Unit sample 28","Water Intrusion/Drywall","Wall moisture","High","sample-May-18","sample + 1 day","sample + 1-2 days","sample + 2-10 days","Completed","Maintenance + vendor","External vendor likely","Sanitized sample Water Intrusion/Drywall request for Wall moisture.","Yes","Yes","No","No","sample 3-5","TBD","habitability-risk"
"SAMPLE-RH-0089","May","Unit sample 29","Water Intrusion/Drywall","Mold / Mildew Issue","High","sample-May-19","sample + 1 day","sample + 1-2 days","sample + 2-10 days","Completed","Maintenance + vendor","External vendor likely","Sanitized sample Water Intrusion/Drywall request for Mold / Mildew Issue.","Yes","Yes","No","No","sample 3-5","TBD","habitability-risk"
"SAMPLE-RH-0090","Jun","Unit sample 30","Water Intrusion/Drywall","Sheetrock","High","sample-Jun-01","sample + 1 day","sample + 1-2 days","sample + 2-10 days","Completed","Maintenance + vendor","External vendor likely","Sanitized sample Water Intrusion/Drywall request for Sheetrock.","Yes","Yes","Yes","No","sample 3-5","TBD","habitability-risk"
"SAMPLE-RH-0091","Jun","Unit sample 31","Water Intrusion/Drywall","Ceiling stain","High","sample-Jun-02","sample + 1 day","sample + 1-2 days","unavailable","Reopened","Maintenance + vendor","External vendor likely","Sanitized sample Water Intrusion/Drywall request for Ceiling stain.","Yes","Yes","No","Yes","unavailable","TBD","habitability-risk"
"SAMPLE-RH-0092","Jun","Unit sample 32","Water Intrusion/Drywall","Wall moisture","High","sample-Jun-03","sample + 1 day","sample + 1-2 days","sample + 2-10 days","Completed","Maintenance + vendor","External vendor likely","Sanitized sample Water Intrusion/Drywall request for Wall moisture.","Yes","Yes","No","No","sample 3-5","TBD","habitability-risk"
